"label (S)","n (N)","content (M)","number (N)"
"b","2","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""7"" },          { ""N"" : ""5"" },          { ""N"" : ""2"" },          { ""N"" : ""-3"" },          { ""N"" : ""-3"" },          { ""N"" : ""-9"" },          { ""N"" : ""-8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""14"" },          { ""N"" : ""9"" },          { ""N"" : ""5"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""11"" },          { ""N"" : ""-2"" },          { ""N"" : ""-7"" },          { ""N"" : ""-10"" },          { ""N"" : ""-13"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""8"" },          { ""N"" : ""3"" },          { ""N"" : ""3"" },          { ""N"" : ""-7"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","3","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""8"" },          { ""N"" : ""10"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""-7"" },          { ""N"" : ""-7"" },          { ""N"" : ""-12"" },          { ""N"" : ""-6"" },          { ""N"" : ""11"" },          { ""N"" : ""13"" },          { ""N"" : ""5"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""9"" },          { ""N"" : ""-4"" },          { ""N"" : ""-9"" },          { ""N"" : ""-11"" },          { ""N"" : ""-7"" },          { ""N"" : ""-5"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","4","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-1"" },          { ""N"" : ""3"" },          { ""N"" : ""7"" },          { ""N"" : ""8"" },          { ""N"" : ""8"" },          { ""N"" : ""4"" },          { ""N"" : ""-1"" },          { ""N"" : ""-4"" },          { ""N"" : ""-6"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-4"" },          { ""N"" : ""-7"" },          { ""N"" : ""-7"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""18"" },          { ""N"" : ""10"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""-7"" },          { ""N"" : ""-8"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","4","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""7"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-8"" },          { ""N"" : ""2"" },          { ""N"" : ""-9"" },          { ""N"" : ""-2"" },          { ""N"" : ""22"" },          { ""N"" : ""6"" },          { ""N"" : ""5"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""6"" },          { ""N"" : ""8"" },          { ""N"" : ""1"" },          { ""N"" : ""-8"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""-4"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""20"" },          { ""N"" : ""8"" },          { ""N"" : ""1"" },          { ""N"" : ""12"" },          { ""N"" : ""-9"" },          { ""N"" : ""-3"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","1","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-1"" },          { ""N"" : ""4"" },          { ""N"" : ""10"" },          { ""N"" : ""8"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-5"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-8"" },          { ""N"" : ""-8"" },          { ""N"" : ""-3"" },          { ""N"" : ""7"" },          { ""N"" : ""11"" },          { ""N"" : ""19"" },          { ""N"" : ""9"" },          { ""N"" : ""4"" },          { ""N"" : ""-6"" },          { ""N"" : ""-11"" },          { ""N"" : ""-5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","5","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""4"" },          { ""N"" : ""7"" },          { ""N"" : ""10"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""-4"" },          { ""N"" : ""-4"" },          { ""N"" : ""-6"" },          { ""N"" : ""-8"" },          { ""N"" : ""-12"" },          { ""N"" : ""-7"" },          { ""N"" : ""9"" },          { ""N"" : ""16"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""2"" },          { ""N"" : ""12"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""-13"" },          { ""N"" : ""-7"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""4"" },          { ""N"" : ""5"" },          { ""N"" : ""7"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","6","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""7"" },          { ""N"" : ""9"" },          { ""N"" : ""11"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""-4"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""-10"" },          { ""N"" : ""-6"" },          { ""N"" : ""0"" },          { ""N"" : ""10"" },          { ""N"" : ""11"" },          { ""N"" : ""13"" },          { ""N"" : ""7"" },          { ""N"" : ""0"" },          { ""N"" : ""-6"" },          { ""N"" : ""-7"" },          { ""N"" : ""-6"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","7","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""7"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-6"" },          { ""N"" : ""-7"" },          { ""N"" : ""-8"" },          { ""N"" : ""-8"" },          { ""N"" : ""-7"" },          { ""N"" : ""6"" },          { ""N"" : ""12"" },          { ""N"" : ""8"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-12"" },          { ""N"" : ""-10"" },          { ""N"" : ""-5"" },          { ""N"" : ""-2"" },          { ""N"" : ""1"" },          { ""N"" : ""6"" },          { ""N"" : ""2"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-5"" },          { ""N"" : ""2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","8","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""4"" },          { ""N"" : ""5"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-3"" },          { ""N"" : ""-4"" },          { ""N"" : ""-5"" },          { ""N"" : ""-10"" },          { ""N"" : ""-10"" },          { ""N"" : ""-1"" },          { ""N"" : ""10"" },          { ""N"" : ""12"" },          { ""N"" : ""5"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""12"" },          { ""N"" : ""-2"" },          { ""N"" : ""-2"" },          { ""N"" : ""-10"" },          { ""N"" : ""-6"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""5"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","9","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""1"" },          { ""N"" : ""7"" },          { ""N"" : ""6"" },          { ""N"" : ""4"" },          { ""N"" : ""-1"" },          { ""N"" : ""-3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-6"" },          { ""N"" : ""-7"" },          { ""N"" : ""-7"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""11"" },          { ""N"" : ""10"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""3"" },          { ""N"" : ""12"" },          { ""N"" : ""3"" },          { ""N"" : ""-7"" },          { ""N"" : ""-10"" },          { ""N"" : ""-9"" },          { ""N"" : ""-6"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""6"" },          { ""N"" : ""4"" },          { ""N"" : ""3"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"i","8","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""2"" },          { ""N"" : ""9"" },          { ""N"" : ""11"" },          { ""N"" : ""6"" },          { ""N"" : ""0"" },          { ""N"" : ""-8"" },          { ""N"" : ""-7"" },          { ""N"" : ""-3"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""5"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""13"" },          { ""N"" : ""17"" },          { ""N"" : ""-14"" },          { ""N"" : ""-26"" },          { ""N"" : ""-21"" },          { ""N"" : ""-3"" },          { ""N"" : ""16"" },          { ""N"" : ""8"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""-8"" },          { ""N"" : ""-3"" },          { ""N"" : ""-10"" },          { ""N"" : ""1"" },          { ""N"" : ""21"" },          { ""N"" : ""19"" },          { ""N"" : ""3"" },          { ""N"" : ""-5"" },          { ""N"" : ""-14"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","10","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""2"" },          { ""N"" : ""7"" },          { ""N"" : ""4"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-3"" },          { ""N"" : ""-4"" },          { ""N"" : ""-5"" },          { ""N"" : ""-10"" },          { ""N"" : ""-11"" },          { ""N"" : ""-4"" },          { ""N"" : ""16"" },          { ""N"" : ""11"" },          { ""N"" : ""3"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""4"" },          { ""N"" : ""3"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""-8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-4"" },          { ""N"" : ""-1"" },          { ""N"" : ""-2"" },          { ""N"" : ""0"" },          { ""N"" : ""11"" },          { ""N"" : ""7"" },          { ""N"" : ""-5"" },          { ""N"" : ""-8"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","11","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""5"" },          { ""N"" : ""5"" },          { ""N"" : ""5"" },          { ""N"" : ""2"" },          { ""N"" : ""-1"" },          { ""N"" : ""-3"" },          { ""N"" : ""-4"" },          { ""N"" : ""-3"" },          { ""N"" : ""-8"" },          { ""N"" : ""-9"" },          { ""N"" : ""-7"" },          { ""N"" : ""2"" },          { ""N"" : ""7"" },          { ""N"" : ""11"" },          { ""N"" : ""4"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""8"" },          { ""N"" : ""13"" },          { ""N"" : ""-2"" },          { ""N"" : ""-7"" },          { ""N"" : ""-12"" },          { ""N"" : ""-8"" },          { ""N"" : ""-7"" },          { ""N"" : ""-3"" },          { ""N"" : ""3"" },          { ""N"" : ""2"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""10"" },          { ""N"" : ""-8"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"b","13","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""7"" },          { ""N"" : ""9"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""-2"" },          { ""N"" : ""-4"" },          { ""N"" : ""-2"" },          { ""N"" : ""-5"" },          { ""N"" : ""-7"" },          { ""N"" : ""-8"" },          { ""N"" : ""-8"" },          { ""N"" : ""6"" },          { ""N"" : ""16"" },          { ""N"" : ""7"" },          { ""N"" : ""3"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""13"" },          { ""N"" : ""5"" },          { ""N"" : ""-2"" },          { ""N"" : ""-9"" },          { ""N"" : ""-12"" },          { ""N"" : ""-4"" },          { ""N"" : ""-4"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""5"" },          { ""N"" : ""6"" },          { ""N"" : ""4"" },          { ""N"" : ""0"" },          { ""N"" : ""-6"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
"c","2","{  ""data"" : { ""M"" : {      ""x"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-1"" },          { ""N"" : ""-1"" },          { ""N"" : ""5"" },          { ""N"" : ""6"" },          { ""N"" : ""8"" },          { ""N"" : ""8"" },          { ""N"" : ""2"" },          { ""N"" : ""-5"" },          { ""N"" : ""-4"" },          { ""N"" : ""-5"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      },      ""y"" : { ""L"" : [          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""-3"" },          { ""N"" : ""-11"" },          { ""N"" : ""-7"" },          { ""N"" : ""-9"" },          { ""N"" : ""6"" },          { ""N"" : ""11"" },          { ""N"" : ""16"" },          { ""N"" : ""6"" },          { ""N"" : ""8"" },          { ""N"" : ""-6"" },          { ""N"" : ""-5"" },          { ""N"" : ""-9"" },          { ""N"" : ""-1"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" },          { ""N"" : ""0"" }        ]      }    }  }}","30"
